#Selection name: Selection 2
#Area (µm^2): 6937406.86
Cell ID,Cluster,Transcripts,Area (µm^2)
mmkggbdh-1,Cluster 5,0,26.60
mmkcjcpg-1,Cluster 7,0,27.76
mmlimnkm-1,Cluster 7,0,15.62
mmlibcjg-1,Cluster 11,0,6.13
mmkjbced-1,Cluster 7,0,38.76
mmlickep-1,Cluster 12,0,20.24
mmkjddcp-1,Cluster 7,0,37.73
mmlhpfpj-1,Cluster 7,0,19.69
mmjokolm-1,Cluster 9,0,10.73
mmlhnghb-1,Cluster 2,0,29.58
mmlhndpa-1,Cluster 2,0,17.65
mmleccnh-1,Cluster 15,0,28.76
mmlehiec-1,Cluster 7,0,40.43
mmlejbbl-1,Cluster 3,0,13.31
mmlejhma-1,Cluster 2,0,5.74
mmleiinl-1,Cluster 10,0,26.31
mmledbok-1,Cluster 14,0,27.39
mmjojmnc-1,Cluster 21,0,5.83
mmlineln-1,Cluster 14,0,12.89
mmlioofa-1,Cluster 7,0,5.30
mmkdacpc-1,Cluster 7,0,18.84
mmlimcfp-1,Cluster 7,0,39.25
mmkcpccn-1,Cluster 2,0,20.25
mmkdhddm-1,Cluster 7,0,37.07
mmkdhgpo-1,Cluster 7,0,18.44
mmlhkgdb-1,Cluster 6,0,13.53
mmlidmle-1,Unassigned,0,4.52
mmjmommk-1,Cluster 7,0,27.31
mmjnphfm-1,Cluster 15,0,22.46
mmjnanni-1,Cluster 14,0,29.15
mmjmheid-1,Cluster 14,0,26.96
mmjobika-1,Cluster 8,0,4.80
mmjoaodi-1,Cluster 9,0,8.95
mmjnfngn-1,Cluster 17,0,7.28
mmjnfmbi-1,Cluster 15,0,23.02
mmjnhgen-1,Cluster 8,0,20.51
mmkagnin-1,Cluster 14,0,13.78
mmjkmopa-1,Unassigned,0,5.21
mmjlddff-1,Cluster 14,0,29.09
mmjkebcl-1,Cluster 14,0,43.47
mmjpmipa-1,Cluster 9,0,15.81
mmjjndep-1,Cluster 24,0,6.19
mmjjmlad-1,Cluster 9,0,7.08
mmjkebin-1,Cluster 11,0,29.63
mmkajpce-1,Cluster 9,0,20.87
mmjkgjek-1,Cluster 11,0,20.24
mmjnmoeh-1,Cluster 14,0,22.58
obfjhnmc-1,Cluster 7,0,19.73
mpgemkab-1,Cluster 1,0,26.45
mpeohljl-1,Cluster 4,0,30.58
mmjdgkhn-1,Cluster 8,0,16.66
mmifnnjd-1,Cluster 9,0,16.45
mmgdppmf-1,Cluster 7,0,9.65
mmdfkbjg-1,Cluster 2,0,20.89
mmeoccfo-1,Cluster 14,0,5.69
mmefagjb-1,Cluster 2,0,20.43
mmejfljd-1,Cluster 7,0,65.04
mmfpcbfd-1,Cluster 8,0,11.70
mmfolohd-1,Cluster 7,0,17.24
mmfloahn-1,Cluster 21,0,7.30
mmfoboji-1,Cluster 7,0,9.51
mmfpfmhb-1,Cluster 2,0,11.42
mmfpfnoh-1,Unassigned,0,4.90
mmfpdcai-1,Cluster 2,0,26.51
mmfnjhaa-1,Cluster 7,0,15.82
mmflkphi-1,Cluster 11,0,17.48
mmfoggkp-1,Cluster 7,0,37.65
mmflickh-1,Cluster 2,0,4.06
mmfljgbk-1,Cluster 6,0,13.47
mmfnopka-1,Cluster 7,0,13.50
mmejkdac-1,Cluster 12,0,9.53
mmejpapn-1,Cluster 7,0,13.55
mmekaioh-1,Cluster 5,0,16.95
mmejkcpp-1,Cluster 2,0,20.87
mmeijbgf-1,Cluster 7,0,20.69
mmeimdel-1,Cluster 7,0,29.82
mmejbkjo-1,Cluster 4,0,14.73
mmeimfmk-1,Cluster 7,0,18.39
mmeinlmi-1,Cluster 5,0,14.33
mmfogaaj-1,Cluster 7,0,8.69
mmeiolal-1,Cluster 7,0,42.56
mmflcepe-1,Cluster 7,0,9.27
mmepamjj-1,Cluster 7,0,33.30
mmepkbll-1,Cluster 7,0,23.69
mmgbkbjb-1,Cluster 12,0,27.31
mmgcekml-1,Cluster 5,0,23.03
mmfkihig-1,Cluster 5,0,29.10
mmfjlndh-1,Cluster 12,0,21.61
mmepadln-1,Cluster 24,0,17.56
mmfkkdlg-1,Cluster 15,0,42.77
mmgchnfm-1,Cluster 2,0,6.74
mmfkfemg-1,Cluster 7,0,26.62
mmfjomej-1,Cluster 6,0,5.60
mmfkccmo-1,Cluster 2,0,45.27
mmfkhblp-1,Cluster 4,0,11.90
mmeelmgo-1,Cluster 2,0,19.05
mmeeoopb-1,Cluster 12,0,15.21
mmeoecbg-1,Cluster 10,0,19.54
mmeonnga-1,Cluster 2,0,48.30
mmefjepg-1,Cluster 2,0,9.06
mmepdfdd-1,Cluster 20,0,11.94
mmenojff-1,Cluster 7,0,38.77
mmepfdeo-1,Cluster 7,0,45.43
mmefjadj-1,Cluster 2,0,14.31
mmefepff-1,Cluster 2,0,41.04
mmeplmdn-1,Cluster 7,0,16.00
mmehhkba-1,Unassigned,0,5.93
mmegjbpd-1,Cluster 7,0,10.20
mmefkcfe-1,Cluster 7,0,20.95
mmefkilf-1,Cluster 13,0,6.43
mmefpaec-1,Cluster 8,0,6.83
mmeijbeh-1,Cluster 2,0,5.84
mmeibfbj-1,Cluster 11,0,14.24
mmejcfgo-1,Cluster 6,0,12.73
mmeibjon-1,Cluster 30,0,11.94
mmehhman-1,Cluster 7,0,32.23
mmehkefn-1,Cluster 2,0,8.78
mmejcibn-1,Cluster 2,0,8.16
mmejddbo-1,Cluster 2,0,63.96
mmehcejf-1,Cluster 1,0,6.69
mmdhflop-1,Cluster 7,0,30.37
mmefohbd-1,Cluster 2,0,12.79
mmegobbp-1,Cluster 8,0,21.89
mmegodld-1,Cluster 24,0,18.40
mmegkmla-1,Cluster 17,0,3.89
mmefmaoa-1,Cluster 7,0,50.29
mmegggeb-1,Cluster 7,0,5.97
mmegfjgi-1,Cluster 12,0,24.30
mmeghboa-1,Unassigned,0,6.80
mmeghmhg-1,Cluster 24,0,11.23
mmefnjbj-1,Cluster 2,0,20.18
mmencgjp-1,Cluster 6,0,9.37
mmemfnnd-1,Cluster 7,0,9.96
mmemaono-1,Cluster 2,0,25.06
mmemdjaa-1,Cluster 6,0,9.73
mmenccnc-1,Cluster 7,0,15.09
mmemgmcg-1,Cluster 7,0,18.21
mmeeoolp-1,Cluster 7,0,9.19
mmeoeapc-1,Cluster 7,0,47.07
mmeeomom-1,Cluster 2,0,10.47
mmeepjmp-1,Cluster 10,0,27.46
mmeohbkb-1,Cluster 8,0,12.02
mmeeoajc-1,Cluster 7,0,30.46
mmeehaan-1,Cluster 7,0,12.68
mmdjfjfe-1,Cluster 17,0,6.31
mmdjeemf-1,Cluster 3,0,7.15
mmemipog-1,Cluster 30,0,6.45
mmenblol-1,Cluster 6,0,4.07
mmemmejm-1,Cluster 8,0,11.71
mmenaigf-1,Cluster 7,0,31.09
mmemkeki-1,Cluster 17,0,4.57
mmemiimc-1,Cluster 8,0,7.06
mmemafbo-1,Cluster 6,0,7.81
mmenajel-1,Cluster 2,0,17.24
mmenmpcg-1,Cluster 2,0,4.10
mmekepfl-1,Cluster 7,0,58.28
mmgbbhec-1,Cluster 4,0,10.66
mmgclgfh-1,Cluster 2,0,26.85
mmgcdplg-1,Cluster 7,0,21.34
mmfkijmd-1,Cluster 2,0,53.56
mmgclakp-1,Cluster 7,0,67.92
mmfkodhe-1,Unassigned,0,3.36
mmfjhihm-1,Cluster 7,0,29.08
mmfclaci-1,Cluster 4,0,16.99
mmflcacb-1,Cluster 2,0,6.86
mmfdnadh-1,Cluster 6,0,15.65
mmfeaeja-1,Cluster 8,0,11.67
mmfefcpd-1,Cluster 11,0,40.02
mmgaieam-1,Cluster 7,0,34.88
mmfedcln-1,Cluster 8,0,6.47
mmekifdm-1,Cluster 7,0,8.07
mmekejad-1,Cluster 7,0,13.56
mmcomhbc-1,Cluster 7,0,51.45
